,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
460,2017,4,Chubut,91.012,2.428,93.440
461,2017,4,Córdoba,709.874,105,709.979
462,2017,4,Corrientes,93.760,11,93.771
463,2017,4,Entre Ríos,193.654,49,193.703
464,2017,4,Formosa,32.056,- 0,32.056
465,2017,4,Jujuy,43.551,1,43.552
466,2017,4,La Pampa,81.675,396,82.071
467,2017,4,La Rioja,52.177,17,52.194
468,2017,4,Mendoza,178.661,1.490,180.151
469,2017,4,Misiones,103.895,- 0,103.895
470,2017,4,Neuquén,114.965,2.006,116.971
471,2017,4,Río Negro,108.702,1.062,109.764
472,2017,4,Salta,132.811,1,132.812
473,2017,4,San Juan,57.965,659,58.624
474,2017,4,San Luis,14.604,300,14.904
475,2017,4,Santa Cruz,29.018,434,29.452
476,2017,4,Santa Fe,672.137,323,672.460
477,2017,4,Santiago Del Estero,68.842,2,68.844
478,2017,4,Tierra Del Fuego,28.346,508,28.854
479,2017,4,Tucumán,162.298,34,162.332
480,2017,3,Buenos Aires,3.046.758,11.202,3.057.960
481,2017,3,Capital Federal,1.563.289,7.070,1.570.359
482,2017,3,Catamarca,33.467,11,33.478
483,2017,3,Chaco,93.747,12,93.759
484,2017,3,Chubut,81.067,2.477,83.544
485,2017,3,Córdoba,696.536,108,696.644
486,2017,3,Corrientes,92.536,12,92.548
487,2017,3,Entre Ríos,185.414,50,185.464
488,2017,3,Formosa,32.105,- 0,32.105
489,2017,3,Jujuy,43.241,1,43.242
490,2017,3,La Pampa,79.280,410,79.690
491,2017,3,La Rioja,51.896,17,51.913
492,2017,3,Mendoza,190.958,1.533,192.491
493,2017,3,Misiones,100.476,- 0,100.476
494,2017,3,Neuquén,113.755,2.029,115.784
495,2017,3,Río Negro,106.393,1.103,107.496
496,2017,3,Salta,132.517,1,132.518
497,2017,3,San Juan,61.789,660,62.449
498,2017,3,San Luis,21.408,311,21.719
499,2017,3,Santa Cruz,33.222,468,33.690
500,2017,3,Santa Fe,662.086,256,662.342
501,2017,3,Santiago Del Estero,82.792,2,82.794
502,2017,3,Tierra Del Fuego,30.883,583,31.466
503,2017,3,Tucumán,160.979,33,161.012
504,2017,2,Buenos Aires,3.067.430,11.201,3.078.631
505,2017,2,Capital Federal,1.592.175,8.016,1.600.191
506,2017,2,Catamarca,26.692,13,26.705
507,2017,2,Chaco,90.597,14,90.611
508,2017,2,Chubut,62.245,1.730,63.975
509,2017,2,Córdoba,657.505,133,657.638
510,2017,2,Corrientes,90.085,12,90.097
511,2017,2,Entre Ríos,182.675,57,182.732
512,2017,2,Formosa,29.956,- 0,29.956
513,2017,2,Jujuy,42.656,1,42.657
514,2017,2,La Pampa,72.573,449,73.022
515,2017,2,La Rioja,16.271,18,16.289
516,2017,2,Mendoza,169.302,1.451,170.753
517,2017,2,Misiones,99.794,- 0,99.794
518,2017,2,Neuquén,115.321,2.112,117.433
519,2017,2,Río Negro,100.621,998,101.619
520,2017,2,Salta,108.540,1,108.541
521,2017,2,San Juan,51.261,620,51.881
522,2017,2,San Luis,12.992,315,13.307
523,2017,2,Santa Cruz,26.019,369,26.388
524,2017,2,Santa Fe,566.918,362,567.280
525,2017,2,Santiago Del Estero,33.194,2,33.196
526,2017,2,Tierra Del Fuego,31.938,619,32.557
527,2017,2,Tucumán,154.374,37,154.411
528,2017,1,Buenos Aires,3.178.174,11.202,3.189.376
529,2017,1,Capital Federal,1.391.030,8.016,1.399.046
530,2017,1,Catamarca,26.304,13,26.317
531,2017,1,Chaco,89.036,14,89.050
532,2017,1,Chubut,62.166,1.730,63.896
533,2017,1,Córdoba,641.066,133,641.199
534,2017,1,Corrientes,88.596,12,88.608
535,2017,1,Entre Ríos,180.296,57,180.353
536,2017,1,Formosa,29.705,- 0,29.705
537,2017,1,Jujuy,43.202,1,43.203
538,2017,1,La Pampa,71.458,455,71.913
539,2017,1,La Rioja,16.207,18,16.225
540,2017,1,Mendoza,169.282,1.451,170.733
541,2017,1,Misiones,97.619,- 0,97.619
542,2017,1,Neuquén,113.227,2.112,115.339
543,2017,1,Río Negro,100.288,1.000,101.288
544,2017,1,Salta,107.632,1,107.633
545,2017,1,San Juan,51.253,620,51.873
546,2017,1,San Luis,12.992,315,13.307
547,2017,1,Santa Cruz,26.116,370,26.486
548,2017,1,Santa Fe,562.520,362,562.882
549,2017,1,Santiago Del Estero,34.473,2,34.475
550,2017,1,Tierra Del Fuego,31.938,619,32.557
551,2017,1,Tucumán,152.734,37,152.771
552,2016,4,Buenos Aires,3.131.499,11.202,3.142.701
553,2016,4,Capital Federal,1.393.443,8.016,1.401.459
554,2016,4,Catamarca,27.021,13,27.034
555,2016,4,Chaco,88.833,14,88.847
556,2016,4,Chubut,62.035,1.730,63.765
557,2016,4,Córdoba,636.422,133,636.555
558,2016,4,Corrientes,88.084,12,88.096
559,2016,4,Entre Ríos,180.188,57,180.245
