,Año,Trimestre,Provincia,Accesos por cada 100 hab,Year_Quarter
438,2018,1,Corrientes,9,2018-01-01
439,2018,1,Entre Ríos,15,2018-01-01
440,2018,1,Formosa,5,2018-01-01
441,2018,1,Jujuy,6,2018-01-01
442,2018,1,La Pampa,24,2018-01-01
443,2018,1,La Rioja,14,2018-01-01
444,2018,1,Mendoza,10,2018-01-01
445,2018,1,Misiones,8,2018-01-01
446,2018,1,Neuquén,18,2018-01-01
447,2018,1,Río Negro,15,2018-01-01
448,2018,1,Salta,10,2018-01-01
449,2018,1,San Juan,8,2018-01-01
450,2018,1,San Luis,4,2018-01-01
451,2018,1,Santa Cruz,10,2018-01-01
452,2018,1,Santa Fe,20,2018-01-01
453,2018,1,Santiago Del Estero,9,2018-01-01
454,2018,1,Tierra Del Fuego,19,2018-01-01
455,2018,1,Tucumán,10,2018-01-01
456,2017,4,Buenos Aires,19,2017-10-01
457,2017,4,Capital Federal,52,2017-10-01
458,2017,4,Catamarca,7,2017-10-01
459,2017,4,Chaco,8,2017-10-01
460,2017,4,Chubut,16,2017-10-01
461,2017,4,Córdoba,19,2017-10-01
462,2017,4,Corrientes,9,2017-10-01
463,2017,4,Entre Ríos,14,2017-10-01
464,2017,4,Formosa,5,2017-10-01
465,2017,4,Jujuy,6,2017-10-01
466,2017,4,La Pampa,23,2017-10-01
467,2017,4,La Rioja,14,2017-10-01
468,2017,4,Mendoza,9,2017-10-01
469,2017,4,Misiones,8,2017-10-01
470,2017,4,Neuquén,18,2017-10-01
471,2017,4,Río Negro,15,2017-10-01
472,2017,4,Salta,10,2017-10-01
473,2017,4,San Juan,8,2017-10-01
474,2017,4,San Luis,3,2017-10-01
475,2017,4,Santa Cruz,9,2017-10-01
476,2017,4,Santa Fe,19,2017-10-01
477,2017,4,Santiago Del Estero,7,2017-10-01
478,2017,4,Tierra Del Fuego,18,2017-10-01
479,2017,4,Tucumán,10,2017-10-01
480,2017,3,Buenos Aires,18,2017-07-01
481,2017,3,Capital Federal,51,2017-07-01
482,2017,3,Catamarca,8,2017-07-01
483,2017,3,Chaco,8,2017-07-01
484,2017,3,Chubut,14,2017-07-01
485,2017,3,Córdoba,19,2017-07-01
486,2017,3,Corrientes,8,2017-07-01
487,2017,3,Entre Ríos,14,2017-07-01
488,2017,3,Formosa,5,2017-07-01
489,2017,3,Jujuy,6,2017-07-01
490,2017,3,La Pampa,23,2017-07-01
491,2017,3,La Rioja,14,2017-07-01
492,2017,3,Mendoza,10,2017-07-01
493,2017,3,Misiones,8,2017-07-01
494,2017,3,Neuquén,18,2017-07-01
495,2017,3,Río Negro,15,2017-07-01
496,2017,3,Salta,10,2017-07-01
497,2017,3,San Juan,8,2017-07-01
498,2017,3,San Luis,4,2017-07-01
499,2017,3,Santa Cruz,10,2017-07-01
500,2017,3,Santa Fe,19,2017-07-01
501,2017,3,Santiago Del Estero,9,2017-07-01
502,2017,3,Tierra Del Fuego,19,2017-07-01
503,2017,3,Tucumán,10,2017-07-01
504,2017,2,Buenos Aires,18,2017-04-01
505,2017,2,Capital Federal,52,2017-04-01
506,2017,2,Catamarca,7,2017-04-01
507,2017,2,Chaco,8,2017-04-01
508,2017,2,Chubut,11,2017-04-01
509,2017,2,Córdoba,18,2017-04-01
510,2017,2,Corrientes,8,2017-04-01
511,2017,2,Entre Ríos,14,2017-04-01
512,2017,2,Formosa,5,2017-04-01
513,2017,2,Jujuy,6,2017-04-01
